Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
theMednet,https://angel.co/company/themednet,5,Jun '17,New York City,Healthcare,http://www.themednet.com,1-10,Seed,1300000
Flight Ventures,https://angel.co/company/flight-vc-syndicate,5,Apr '15,San Francisco,SaaS,https://angel.co/flight-ventures,"","",""
Boom,https://angel.co/company/boom,5,Apr '16,Centennial,Aerospace,https://boomsupersonic.com/,51-200,Series B,133000000
MANOR,https://angel.co/company/manor-2,5,May '17,Chicago,B2B,http://manorhomeapp.com,"",Seed,335000
Campuswire,https://angel.co/company/campuswire,5,May '16,San Francisco,Messaging,http://campuswire.com,1-10,"",""
Prefer,https://angel.co/company/prefer-2,5,May '17,San Francisco,Location Based Services,http://prefer.com,11-50,"",""
Hingeto,https://angel.co/company/hingeto,5,Dec '15,Oakland,E-Commerce Platforms,http://hingeto.com,11-50,Seed,1900000
WPP Ventures,https://angel.co/company/wpp-ventures,5,Apr '17,London,Retail Technology,http://www.wppventures.com,"","",""
KF20 Capital,https://angel.co/company/kf20-capital,5,Apr '17,San Francisco,"","","","",""
Overclock Labs,https://angel.co/company/ovrclk,5,Oct '15,San Francisco,Data Center Infrastructure,http://ovrclk.com,1-10,Seed,1310000
Fetch,https://angel.co/company/fetch-21,5,May '17,Atlanta,Technology,http://fetchtruck.com,1-10,Seed,""
Superside,https://angel.co/company/supersidehq,5,Feb '16,Palo Alto,B2B,https://www.superside.com,51-200,Seed,1500000
Hello Scout,https://angel.co/company/helloscout,5,Jul '15,San Francisco,Mobile Commerce,http://helloscout.com,1-10,Acquired,""
Crystal,https://angel.co/company/crystal-project,5,May '15,Nashville,SaaS,https://www.crystalknows.com,1-10,"",""
Razorpay,https://angel.co/company/razorpay,5,Mar '15,Bengaluru,Mobile Payments,https://razorpay.com,51-200,"",11500000
RadioPublic PBC,https://angel.co/company/radiopublic,5,May '16,Boston,Audio,http://www.radiopublic.com,1-10,"",""
Orphidia,https://angel.co/company/orphidia,5,Aug '14,San Francisco,Medical Devices,http://www.orphidia.com,11-50,Seed,1805000
