,idt,name,category,description,city,country,latitude,longitude,year_founded,employees,total_money_raised
0,52cdef7c4bab8bd675297d8c,Zoho,software,Online Business Apps Suite,Pleasanton,USA,37.692934,-121.904945,2005,1600.0,$0
1,52cdef7c4bab8bd675297d8d,Digg,news,user driven social content website,San Francisco,USA,37.764726,-122.394523,2004,60.0,$45M
2,52cdef7c4bab8bd675297d8e,Facebook,social,Social network,Menlo Park,USA,37.41605,-122.151801,2004,5299.0,$2.43B
3,52cdef7c4bab8bd675297d8e,Facebook,social,Social network,Dublin,IRL,53.344104,-6.267494,2004,5299.0,$2.43B
4,52cdef7c4bab8bd675297d8e,Facebook,social,Social network,New York,USA,40.7557162,-73.9792469,2004,5299.0,$2.43B
6,52cdef7c4bab8bd675297d94,Twitter,social,Real time communication platform,San Francisco,USA,37.7768052,-122.4169244,2006,1300.0,$1.16B
7,52cdef7c4bab8bd675297d96,Gizmoz,web,Photo animation,Menlo Park,USA,37.48413,-122.169472,2003,,$18.1M
8,52cdef7c4bab8bd675297d98,Slacker,music,Music Personalization Suite,San Diego,USA,33.022176,-117.081406,2006,,$73.1M
9,52cdef7c4bab8bd675297da0,Babelgum,games_video,,London,GBR,53.344104,-6.267494,2007,,$13.2M
10,52cdef7c4bab8bd675297da4,Powerset,search,,San Francisco,USA,37.778613,-122.395289,2006,60.0,$22.5M
11,52cdef7c4bab8bd675297da7,AddThis,advertising,Content Engagement,Vienna,USA,38.926172,-77.245195,2004,120.0,$73M
12,52cdef7c4bab8bd675297da7,AddThis,advertising,Content Engagement,New York,USA,40.724604,-73.996876,2004,120.0,$73M
13,52cdef7c4bab8bd675297da7,AddThis,advertising,Content Engagement,Culver City,USA,34.0263021,-118.380954,2004,120.0,$73M
16,52cdef7c4bab8bd675297da7,AddThis,advertising,Content Engagement,Troy,USA,42.557958,-83.167884,2004,120.0,$73M
17,52cdef7c4bab8bd675297da8,OpenX,advertising,OpenX,Pasadena,USA,34.1494713,-118.1327468,2008,305.0,$75.5M
22,52cdef7c4bab8bd675297dac,Veoh,games_video,Internet TV service,San Diego,USA,32.902266,-117.20834,2004,,$69.8M
23,52cdef7c4bab8bd675297dae,Thoof,web,,Austin,USA,30.268735,-97.745209,2006,,$1M
24,52cdef7c4bab8bd675297db5,LifeLock,security,Identity theft protection,Tempe,USA,33.429859,-111.938739,2005,644.0,$178M
25,52cdef7c4bab8bd675297db6,Wesabe,web,,San Francisco,USA,37.793148,-122.402567,2005,,$4.7M
26,52cdef7c4bab8bd675297db9,Prosper,finance,p2p lending marketplace,San Francisco,USA,37.78976,-122.402524,2006,,$120M
27,52cdef7c4bab8bd675297dbb,Jajah,mobile,IP Communications Platform,Mountain View,USA,37.4233896,-122.0899512,2005,110.0,$33M
28,52cdef7c4bab8bd675297dbf,blogTV,games_video,,Ramat Gan,ISR,31.046051,34.851612,2006,,$3M
